mode,payload_bytes,duration_ms,avg_current_mA,avg_power_mW,energy_mJ,energy_per_byte_uJ,total_test_energy_mJ
BLE_CONN,2,5005,57.63206412825651,192.82364729458916,965.0823547094187,482541.17735470936,4144.796469933185
WiFi,2,5003,42.851503006012024,142.2625250501002,711.7394128256514,355869.7064128257,2273.408405305822
BLE_ADV,2,7005,59.802722063037244,197.95702005730658,1386.6889255014325,693344.4627507163,2860.4190837581937
BLE_CONN,1024,10003,58.23184079601991,193.0,1930.579,1885.3310546875,6372.337846956521
BLE_ADV,1024,82733,66.91564954682781,220.795166163142,18267.04648217523,17838.912580249245,19775.777809682804
WiFi,1024,5002,77.26666666666667,254.8273092369478,1274.6462008032129,1244.7716804718875,3260.760125
BLE_CONN,10,5004,59.179199999999994,194.276,972.157104,97215.71040000001,3724.9377078931016
WiFi,10,5004,39.737875751503005,132.09018036072143,660.9792625250501,66097.92625250501,2672.2718725945588
BLE_ADV,10,7014,59.18151862464183,196.17478510028653,1375.9699426934098,137596.99426934097,2882.005042324247
BLE_CONN,512,49390,59.65201383238405,197.48128559804718,9753.600695687552,19050.001358764748,12737.7443639399
WiFi,512,5007,67.3440881763527,223.3687374749499,1118.407268537074,2184.389196361473,2638.575553584627
BLE_ADV,512,44822,65.38363228699552,215.4798206278027,9658.236520179373,18863.743203475336,10990.987680498734
BLE_CONN,1,5006,57.98777555110221,195.32665330661322,977.8052264529058,977805.2264529058,3913.3763391812863
WiFi,1,5007,41.7118236472946,138.1202404809619,691.5680440881763,691568.0440881763,2570.2915459004907
BLE_ADV,1,7018,58.69470672389128,194.42918454935622,1364.504017167382,1364504.017167382,4488.84534141791
BLE_CONN,100,5004,58.73767535070141,194.17835671342687,971.668496993988,9716.68496993988,3922.2378276269183
WiFi,100,5002,51.00843373493976,167.29718875502007,836.8205381526104,8368.205381526104,2189.713964057508
BLE_ADV,100,13326,62.47963663890992,207.58440575321725,2766.269791067373,27662.69791067373,4287.886929312902
BLE_CONN,50,4998,58.04569138276554,195.92384769539078,979.2273907815631,19584.547815631264,4090.763267716535
WiFi,50,5003,53.70000000000001,179.46534653465346,897.8651287128712,17957.302574257425,2411.328687969925
BLE_ADV,50,9116,61.05269526952694,202.87788778877888,1849.434825082508,36988.69650165016,3369.43404
