mode,payload_bytes,total_duration_s,transfer_duration_s,overhead_duration_s,total_energy_mJ,transfer_energy_mJ,overhead_energy_mJ,transfer_avg_power_mW,overhead_avg_power_mW,throughput_kbps,energy_per_byte_uJ
BLE_CONN,2,18.035,4.99,12.97,4127.56,962.19,3165.37,192.82364729458916,244.05319969159598,0.32064128256513025,20637.800000000003
WiFi,2,13.622,4.99,8.58,2264.73,709.89,1554.84,142.2625250501002,181.21678321678323,0.32064128256513025,11323.65
BLE_ADV,2,13.789,6.98,6.75,2848.18,1381.74,1466.44,197.95702005730658,217.25037037037038,0.2292263610315186,14240.9
BLE_CONN,1024,28.722,10.05,18.7,6378.55,1939.65,4438.9,193.0,237.37433155080214,81.51243781094527,62.29052734375
BLE_ADV,1024,89.834,82.75,7.1,19779.3,18270.8,1508.5,220.795166163142,212.46478873239437,9.899697885196375,193.1572265625
WiFi,1024,14.942,4.98,9.9,3247.23,1269.04,1978.19,254.8273092369478,199.8171717171717,164.49799196787146,31.71123046875
BLE_CONN,10,16.154,5.0,11.09,3710.18,971.38,2738.8,194.276,246.96122633002705,1.6,3710.18
WiFi,10,15.152,4.99,10.08,2657.81,659.13,1998.68,132.09018036072143,198.28174603174602,1.6032064128256514,2657.81
BLE_ADV,10,14.009,6.98,6.96,2867.81,1369.3,1498.51,196.17478510028653,215.30316091954023,1.146131805157593,2867.81
BLE_CONN,512,60.195,49.16,10.74,12675.32,9708.18,2967.14,197.48128559804718,276.2700186219739,8.331977217249797,247.56484375
WiFi,512,13.583,4.99,8.54,2628.28,1114.61,1513.67,223.3687374749499,177.2447306791569,82.08416833667334,51.33359375
BLE_ADV,512,51.583,44.6,6.73,10937.08,9610.4,1326.68,215.4798206278027,197.1292719167905,9.183856502242152,213.61484375
BLE_CONN,1,17.182,4.99,12.11,3894.7,974.68,2920.02,195.32665330661322,241.12469033856317,0.16032064128256512,38947.0
WiFi,1,14.337,4.99,9.28,2558.28,689.22,1869.06,138.1202404809619,201.4073275862069,0.16032064128256512,25582.8
BLE_ADV,1,21.563,6.99,14.45,4463.24,1359.06,3104.18,194.42918454935622,214.82214532871973,0.11444921316165951,44632.4
BLE_CONN,100,17.04,4.99,11.95,3899.22,968.95,2930.27,194.17835671342687,245.21087866108786,16.03206412825651,389.922
WiFi,100,12.577,4.98,7.54,2179.79,833.14,1346.65,167.29718875502007,178.60079575596816,16.064257028112447,217.979
BLE_ADV,100,20.362,13.21,7.02,4260.09,2742.19,1517.9,207.58440575321725,216.22507122507122,6.0560181680545035,426.009
BLE_CONN,50,17.855,4.99,12.79,4073.58,977.66,3095.92,195.92384769539078,242.05785770132917,8.016032064128256,814.716
WiFi,50,13.257,5.05,8.25,2419.15,906.3,1512.85,179.46534653465346,183.37575757575758,7.920792079207922,483.83
BLE_ADV,50,16.064,9.09,6.91,3356.01,1844.16,1511.85,202.87788778877888,218.7916063675832,4.4004400440044,671.202
